fileName,emotion
cropped_49,fear
cropped_75,happy
cropped_61,sad
cropped_60,sad
cropped_74,sad
cropped_48,None
cropped_62,fear
cropped_76,happy
cropped_89,happy
cropped_88,fear
cropped_77,sad
cropped_63,happy
cropped_67,sad
cropped_73,None
cropped_98,None
cropped_100,None
cropped_101,sad
cropped_99,sad
cropped_72,sad
cropped_66,surprise
cropped_70,sad
cropped_64,fear
cropped_58,happy
cropped_103,None
cropped_102,happy
cropped_59,None
cropped_65,sad
cropped_71,None
cropped_16,sad
cropped_6,happy
cropped_7,sad
cropped_17,surprise
cropped_29,fear
cropped_15,happy
cropped_5,fear
cropped_4,sad
cropped_14,sad
cropped_28,sad
cropped_10,fear
cropped_38,fear
cropped_1,fear
cropped_39,None
cropped_11,happy
cropped_13,fear
cropped_3,sad
cropped_2,happy
cropped_12,happy
cropped_37,sad
cropped_23,surprise
cropped_22,sad
cropped_36,sad
cropped_20,fear
cropped_34,happy
cropped_35,sad
cropped_21,sad
cropped_25,None
cropped_31,sad
cropped_19,sad
cropped_9,sad
cropped_8,None
cropped_18,sad
cropped_30,happy
cropped_24,sad
cropped_32,happy
cropped_26,None
cropped_27,fear
cropped_33,fear
cropped_68,fear
cropped_54,None
cropped_40,None
cropped_97,fear
cropped_83,fear
cropped_82,None
cropped_96,sad
cropped_41,happy
cropped_55,fear
cropped_69,None
cropped_43,None
cropped_57,happy
cropped_80,happy
cropped_94,sad
cropped_95,happy
cropped_81,None
cropped_56,fear
cropped_42,None
cropped_46,sad
cropped_52,fear
cropped_85,sad
cropped_91,None
cropped_90,sad
cropped_84,None
cropped_53,sad
cropped_47,sad
cropped_51,fear
cropped_45,None
cropped_79,sad
cropped_92,fear
cropped_86,happy
cropped_87,sad
cropped_93,sad
cropped_78,fear
cropped_44,sad
cropped_50,happy
